model,version,recall,precision,f1,file
Logistic Regression,v0,0.8853688399142944,0.8853688399142944,0.8709342550454688,
Logistic Regression,v1,0.8856749311294766,0.8571103546770557,0.8711400483859387,logistic_regression_v1.joblib
Logistic Regression,v2,0.8867462503826141,0.8573206526758974,0.8717655491370842,logistic_regression_v2.joblib
Linear SVC,v0,0.8875114784205693,0.8875114784205693,0.8716673989116179,
Linear SVC,v1,0.8874349556167737,0.856400224418305,0.8716248628750242,linear_svc_v1.joblib
Linear SVC,v2,0.887894092439547,0.8568450952713432,0.8720757855317863,linear_svc_v2.joblib
Random Forest,v0,0.8778696051423324,0.8778696051423324,0.8629451706016207,
Random Forest,v1,0.8817722681359045,0.8486746573102248,0.8648932327504125,random_forest_v1.joblib
Random Forest,v0,0.877946127946128,0.877946127946128,0.8628618320927531,
Random Forest,v1,0.882843587389042,0.8490424292899217,0.8655937899834956,random_forest_v1.joblib
Random Forest,v2,0.8835322926232018,0.8503987121482556,0.8666254719048757,random_forest_v2.joblib
Random Forest,v2,0.8835322926232018,0.8503987121482556,0.8666254719048757,random_forest_v2.joblib
SVC,v0,0.8846801346801346,0.8846801346801346,0.8668759337946622,
SVC,v1,0.982399755127028,0.663021027051853,0.7917133197389316,svc_v1.joblib
SVC,v2,0.9617385981022344,0.7193393327543665,0.823056973426068,svc_v2.joblib
SVC,v3,0.9966329966329964,0.5888686624256391,0.7403153526678848,svc_v3.joblib
KNN,v0,0.8497857361493725,0.8497857361493725,0.820082069546663,
KNN,v0,0.8497857361493725,0.8497857361493725,0.820082069546663,
KNN,v1,0.8990664217936946,0.8024758004402274,0.8480084476468495,knn_v1.joblib
KNN,v2,0.8764156718702174,0.8117210677437717,0.8428168318383106,knn_v2.joblib
KNN,v3,0.9012090602999695,0.8046516521086527,0.8501819441954491,knn_v3.joblib
